OTU	A01	A02	B01	B02	C01	C02	D01	D02	E01	E02	F01	F02	G01	H01	H25361	H25362	H25363	H25364	H25365
Zotu167	64	399	580	0	12	1733	1	8	150	349	328	451	3	32	47	139	0	29	34
Zotu168	1439	11	63	600	4	88	894	46	7	2	4	17	93	476	34	48	140	295	44
Zotu169	0	1	1	0	0	2	0	8843	3	0	1404	0	0	1557	15666	151	3	66	1
Zotu172	0	0	319	0	14	0	0	1	0	995	276	1494	0	0	620	3	0	734	0
Zotu173	2570	65	341	693	41	64	3386	46	76	0	23	70	528	683	205	2603	12239	4293	5381
Zotu174	103	3744	1161	2	35	946	8	8611	463	1483	3600	4980	29	858	44965	3695	44	8868	12576
Zotu175	1100	18	147	179	69	12	1289	97	32	2	12	17	592	151	25	1663	9182	383	2707
Zotu176	1	204	22	0	0	2319	27	58	1021	206	13	32	0	0	33	8908	28	7505	8044
Zotu177	1110	3	16	32	5	10	809	41	6	0	1	7	122	75	60	1049	687	5528	597
Zotu178	25	584	271	1	6	1559	7	504	698	402	451	851	12	451	10448	3126	50	1945	2737
Zotu179	650	0	38	128	9	11	477	23	8	1	2	4	100	97	50	687	5000	813	1170
Zotu181	18	2910	1006	0	18	1875	22	20	926	262	14	4126	12	76	90	13305	161	4728	2648
Zotu185	383	0	15	139	29	0	26	35	1	6	0	0	5295	0	0	0	0	0	0
Zotu188	28	343	271	0	4	326	5	317	434	181	655	489	6	125	4769	1410	193	504	4806
Zotu198	3210	104	632	332	35	46	2951	234	262	39	209	171	898	454	264	2139	14416	655	3297
Zotu199	3811	28	30	121	11	58	2726	167	18	3	5	46	629	210	64	678	458	2495	503
Zotu200	0	5	10	0	5	0	0	52	0	8	0	0	3633	0	0	1	0	0	0
Zotu201	13	177	108	0	0	167	6	340	294	99	300	247	2	53	2168	1450	14	586	1461
Zotu204	46	690	432	0	9	595	10	691	761	312	901	850	9	274	7938	6524	145	6078	5915
Zotu205	1530	7	89	542	23	36	889	45	32	0	12	18	199	665	33	242	1675	1146	905
Zotu206	2919	29	55	256	9	26	1630	245	45	0	4	22	1706	339	69	3523	4625	1922	1791
Zotu207	67	317	625	1	27	1799	1	3	77	302	231	440	1	24	62	193	0	49	36
Zotu209	1092	10	115	524	8	27	982	44	19	0	5	12	274	416	24	567	1242	437	620
Zotu21	484	4891	4994	2	72	4696	119	5163	7687	2561	5842	7048	46	1534	88075	36716	1590	21292	41114
Zotu211	0	109	51	0	3	115	2	0	45	2	0	189	0	0	0	2532	19	1295	616
Zotu214	468	41	144	375	16	19	512	70	26	1	10	13	182	160	30	2156	5914	1258	1183
Zotu215	866	20	19	419	1	38	1011	217	117	2	20	25	637	516	28	2075	487	911	443
Zotu216	4	0	1	4	0	0	0	64	0	1	0	0	3775	0	0	0	0	0	0
Zotu218	0	1	2	0	2	0	0	52	0	7	0	0	3135	0	0	0	0	0	0
Zotu22	7555	109	434	1435	100	131	6439	302	255	9	61	114	1399	1700	305	18984	82901	19229	23964
Zotu223	7029	148	1534	922	200	101	6135	4698	111	1383	44	114	1409	923	32783	9730	42071	28489	8864
Zotu224	0	0	0	0	0	0	0	0	0	1	0	0	1843	0	0	0	0	0	0
Zotu225	1503	2	93	36	25	8	239	43	10	0	0	4	15	0	11	275	815	88	2
Zotu226	0	0	0	0	0	0	0	17	0	0	21	13	0	1	1561	20	0	26	0
Zotu227	802	6	43	43	20	6	183	10	23	0	4	3	145	97	27	427	2775	249	1304
Zotu228	24	331	255	4	8	2863	1	509	393	225	543	519	4	352	2264	183	2	101	188
Zotu23	56	529	860	0	13	654	23	996	1269	354	1121	913	6	254	38841	4069	98	3346	4413
Zotu230	1828	5	33	258	10	45	1475	101	8	0	1	9	121	245	18	195	81	820	25
Zotu232	13	252	300	0	0	138	1	319	203	274	288	323	0	86	12579	653	15	2469	1043
Zotu234	0	0	0	0	0	0	0	1	0	0	0	0	2187	0	0	0	0	0	0
Zotu239	0	0	0	0	0	0	0	1023	0	0	36	1	0	287	6710	74	1	20	1
Zotu24	480	7797	4457	2	72	3999	226	18422	7941	2482	8709	9122	88	1933	73184	54141	3774	37787	58153
Zotu240	0	5	66	0	2	47	0	14	17	10	45	18	1	14	1731	97	7	5	785
Zotu245	821	26	90	138	12	35	850	124	67	4	36	21	376	120	1392	1380	6633	1615	1832
Zotu246	1775	29	92	222	12	15	1372	182	30	3	10	15	656	260	18	1420	4576	1216	826
Zotu25	7249	306	1262	2779	133	217	10080	603	194	9	103	262	1695	1670	653	20738	111358	13556	29875
Zotu250	801	5	16	129	6	6	420	31	6	0	2	4	330	85	52	1362	6402	1100	935
Zotu251	301	5	6	123	2	0	11	69	0	4	0	0	1414	0	0	0	0	0	0
Zotu252	0	2	5	0	3	0	0	139	0	8	0	0	4947	0	0	0	0	0	0
Zotu254	0	0	1	0	0	0	0	38	0	1	0	0	2418	0	0	0	0	0	0
Zotu255	982	3	35	178	9	10	853	44	21	2	5	5	121	218	36	858	3059	644	841
Zotu257	1	22	21	0	0	30	1	39	35	7	29	40	0	11	266	240	29	71	257
Zotu258	0	0	0	0	0	0	0	590	0	0	609	0	0	0	5033	66	1	1488	7
Zotu26	9889	401	1965	7005	175	347	10023	1035	380	26	153	241	4089	2813	281	15101	77620	27442	21800
Zotu261	3	0	0	0	0	0	0	0	0	0	170	0	0	34	874	10	0	301	0
Zotu262	244	1	2	136	1	0	13	18	1	4	0	0	2597	0	3	0	0	0	0
Zotu263	1009	28	33	75	6	10	662	151	32	2	8	19	749	92	8	846	2780	523	269
Zotu267	0	0	3	0	1	0	0	26	0	2	0	0	2644	0	0	1	0	0	0
Zotu269	938	1	35	251	1	15	405	16	2	0	1	8	137	199	16	66	1415	244	954
Zotu272	0	1	1	0	0	0	0	110	0	3	0	0	1807	0	0	1	0	0	0
Zotu273	12	187	209	1	2	1279	0	265	227	238	240	502	2	131	4670	247	1	616	478
Zotu276	0	0	3	0	2	0	0	44	0	1	0	0	2270	0	0	0	0	0	0
Zotu28	158	2431	1320	2	22	1610	28	3824	2784	677	3029	2624	17	592	45921	24298	684	15920	32247
Zotu280	0	0	71	0	2	0	0	0	0	2286	0	0	0	0	48	24	0	15	0
Zotu281	82	0	1	12	0	1	37	1	1	0	0	0	34	17	1	27	107	27	42
Zotu282	1757	14	175	193	21	41	448	76	5	4	2	7	12	523	3	475	2009	792	1070
Zotu285	17	614	181	0	1	554	12	282	736	392	123	540	5	51	2046	1605	27	601	433
Zotu286	0	1	0	0	0	0	0	1962	2	0	843	0	0	0	3428	37	1	81	1
Zotu292	3	131	93	1	1	184	1	194	108	43	193	135	0	27	1371	2382	22	2456	919
Zotu293	667	2	34	37	13	2	345	29	11	0	1	3	322	53	52	1238	17643	1166	3812
Zotu294	434	5	20	158	2	25	742	126	12	2	1	7	85	141	16	247	173	658	111
Zotu295	983	10	44	172	8	20	594	32	13	1	9	9	168	148	30	316	1314	881	627
Zotu297	1651	124	183	390	24	42	1366	217	103	1	24	20	1355	141	1	210	1143	327	482
Zotu298	0	3	493	0	5	85	0	173	1	3	6	0	0	8	772	9	0	13	0
Zotu30	5178	58	442	699	18	50	5799	187	172	1	33	67	2215	929	137	6550	34286	707	5931
Zotu300	1450	24	61	217	13	20	1088	117	41	0	13	11	997	244	36	1465	6999	1375	2636
Zotu302	1	1	6	0	0	2	0	9	3	20	17	5	0	2	798	52	0	60	19
Zotu303	126	2	16	25	1	2	283	14	4	1	1	1	40	53	7	329	1782	186	732
Zotu306	16	101	201	0	1	230	3	118	71	47	184	123	1	36	4776	748	7	185	568
Zotu307	9185	51	574	511	68	36	4133	344	127	4	16	32	2743	608	274	10462	59500	5280	21334
Zotu308	208	4	16	7	7	1	457	4	3	0	0	2	37	17	0	0	0	1	0
Zotu31	1917	44	60	537	18	28	2471	387	137	0	23	20	1125	644	145	17973	18287	13507	2367
Zotu310	2	79	548	0	1	33	4	44	235	33	289	116	2	33	576	161	0	173	475
Zotu314	11	108	278	0	7	1114	1	67	98	102	150	395	1	42	2758	36	0	6	202
Zotu315	109	2	9	14	2	0	85	10	2	0	1	1	39	14	15	345	1743	434	658
Zotu317	3	86	20	0	2	51	1	85	54	22	86	65	0	15	6220	3423	37	2107	2989
Zotu32	11558	121	620	1057	119	106	10701	721	200	3	44	112	2228	1210	552	18035	93892	32780	31481
Zotu320	637	8	28	29	6	0	256	27	19	0	1	4	260	28	7	227	870	383	134
Zotu324	1672	14	46	235	50	4	79	892	4	59	5	2	46827	1	10	8	0	2	2
Zotu325	4	23	48	0	3	121	0	8	134	72	6	43	0	0	18	1750	16	704	589
Zotu327	0	2	0	0	0	0	0	15	0	0	0	0	459	0	0	0	0	0	0
Zotu329	346	2	17	62	4	2	266	23	4	0	1	0	44	90	7	186	907	138	258
Zotu33	0	0	2	0	0	719	9	3	535	3	4	0	0	0	148	21988	79	22817	31
Zotu330	254	2	11	62	4	7	250	14	8	0	0	3	28	58	12	194	710	193	223
Zotu332	1	0	47	0	1	0	0	221	1	68	4	3	0	7	1279	14	0	1482	33
Zotu333	2	54	692	0	7	376	2	133	239	3	181	175	3	9	1004	382	18	71	361
Zotu335	3	94	47	0	1	102	1	51	115	34	72	82	1	19	1016	671	67	303	1426
Zotu336	0	0	0	0	0	0	0	20	0	0	0	0	1133	0	0	0	0	0	0
Zotu338	379	7	22	100	10	3	382	12	11	0	5	2	68	55	19	503	3924	463	754
Zotu34	203	5	2388	1	38	2706	51	18	3346	1902	19	13	0	1062	4786	35211	2711	12440	3229
Zotu340	69	0	5	9	3	2	55	3	2	1	0	1	50	8	1	119	899	289	304
Zotu342	3	481	3015	0	10	140	11	175	1133	301	2343	1011	6	226	17370	738	4	596	3870
Zotu344	23	1701	231	0	3	185	2	1080	251	982	633	448	0	41	912	1408	14	1161	2590
Zotu345	266	0	2	40	3	0	10	10	1	4	0	0	1697	0	0	1	0	0	0
Zotu346	0	0	0	0	0	0	0	5	0	3	0	0	893	0	0	0	0	0	0
Zotu349	749	7	37	186	3	24	686	64	21	1	2	8	312	209	16	229	897	109	312
Zotu35	106	3662	1257	3	25	7067	58	9986	4395	2133	3415	5766	47	1384	52836	49970	439	23793	12603
Zotu351	390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu352	7	0	0	22	1	0	0	3	0	0	0	0	549	0	0	0	0	0	0
Zotu353	53	0	0	39	1	0	2	18	0	2	0	0	497	0	0	0	0	0	0
Zotu354	14	0	0	45	0	0	1	9	0	2	0	0	776	0	0	0	0	0	0
Zotu355	0	7	18	0	0	56	1	3	1	2	206	2	0	2	7424	65	2	0	0
Zotu356	0	1	2	0	0	2	0	4	5	2	8	8	0	2	584	294	11	12	398
Zotu357	38	0	3	28	3	0	2	12	0	1	0	0	1003	0	4	0	0	0	0
Zotu358	71	13	954	1	16	12	0	4	21	1200	9	26	0	205	8	40	1	35	9
Zotu359	10	109	78	0	1	460	4	361	164	77	134	179	2	51	1067	947	23	462	448
Zotu36	105	2826	865	0	24	1561	40	5860	2643	955	2017	2117	25	636	38118	14250	105	19768	7094
Zotu360	0	1	4	55	3	0	0	32	0	8	0	0	1861	0	2	0	0	0	0
Zotu363	1	3	1	0	0	2	0	6	1	173	6	581	0	2	1	0	0	1	137
Zotu364	0	0	4	0	4	0	0	25	0	3	0	0	1148	0	0	0	0	0	0
Zotu365	350	7	11	58	4	10	458	57	8	0	2	7	72	75	25	588	2437	683	842
Zotu369	0	0	0	25	0	0	0	16	0	2	0	0	797	0	0	0	0	0	0
Zotu370	479	1589	1267	96	21	4601	297	2759	4433	985	4783	2921	72	1233	25998	35905	374	13254	29421
Zotu372	382	0	0	4	0	0	8	1	0	0	0	0	21	0	0	0	0	0	0
Zotu373	92	2	22	89	2	1	105	4	3	0	3	2	17	37	9	272	1859	906	584
Zotu375	0	1	1	0	0	0	0	7	0	2	0	0	1168	0	0	0	0	0	0
Zotu377	0	0	4965	0	47	0	3	17078	0	0	6272	2	0	2422	76560	1258	15	32786	1
Zotu378	585	17	53	44	7	8	353	15	16	1	4	6	140	67	11	325	2095	277	534
Zotu379	0	49	0	0	0	10	0	1	0	0	2	12	1	1	0	468	7	164	2927
Zotu38	12793	212	972	1419	167	144	10137	608	227	5	96	172	3193	1449	492	20536	121646	17871	25733
Zotu384	48	0	2	29	4	0	6	33	0	3	0	0	1020	0	0	0	0	0	0
Zotu392	140	2	5	23	1	1	86	7	8	0	0	0	37	16	6	372	2051	621	359
Zotu393	0	0	1	46	3	0	0	15	0	0	0	0	913	0	1	0	0	0	0
Zotu40	0	8	0	0	0	1441	6	263	459	0	11	3	0	0	50	13114	36	14381	7047
Zotu402	449	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu405	24	0	3	0	1	0	21	0	0	0	0	1	6	1	4	80	179	41	60
Zotu406	59	4	5	25	0	1	169	34	1	0	0	1	20	25	1	4	65	14	10
Zotu407	0	0	1	22	0	0	0	20	0	2	0	0	1286	0	0	0	0	0	0
Zotu409	2	3	6	0	0	17	1	20	43	4	12	11	0	1	4237	3650	264	1631	1041
Zotu41	9757	108	351	794	55	119	7402	271	108	2	33	122	1881	955	165	2055	10895	1730	1641
Zotu413	70	4235	435	1	9	1493	93	2414	5576	169	7523	5619	40	398	14975	101109	285	91646	23224
Zotu417	0	1	3	0	0	45	0	1	0	1	35	4	0	5	1673	7	0	0	0
Zotu418	447	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Zotu419	0	0	2	0	0	0	0	33	0	5	0	0	2026	0	0	0	0	0	0
Zotu420	0	0	0	0	0	2	0	19	3	0	0	0	0	0	0	164	1	191	1
Zotu424	10	1	0	57	0	0	2	9	0	0	0	0	609	0	1	0	0	0	0
Zotu427	139	1	1	33	1	0	7	26	0	0	0	0	578	0	1	0	0	0	0
Zotu428	156	2	8	27	0	0	195	7	4	0	1	1	65	28	7	162	207	287	26
Zotu430	348	3	18	29	3	2	258	12	7	0	3	3	57	49	20	304	1656	485	745
Zotu431	954	0	0	20	0	0	65	2	0	0	0	0	0	0	0	0	0	0	0
Zotu433	105	2	17	14	3	0	34	4	31	0	6	4	59	81	2	15	38	8	7
Zotu434	1501	41	82	211	14	15	1056	170	51	1	12	19	1224	243	77	5552	12161	318	1432
Zotu435	252	18	14	75	8	15	279	75	19	7	13	21	260	100	10	48	93	12	28
Zotu439	4	8	26	0	0	44	0	6	27	16	52	27	1	5	3	19	1	9	9
Zotu440	3	67	105	0	0	25	2	46	56	116	56	98	0	15	1189	209	4	1151	526
Zotu441	414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu444	645	0	0	2	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0
Zotu451	0	0	0	0	0	0	0	0	0	0	0	0	271	0	0	0	0	0	0
Zotu453	224	2381	1937	3	49	6667	99	11945	5838	1496	4355	4246	59	1427	32780	61105	1334	23600	52711
Zotu455	0	0	1	0	1	0	0	3	0	2	0	0	710	0	0	0	0	0	0
Zotu459	22	0	1	4	0	0	26	0	0	0	0	0	5	5	0	26	140	7	42
Zotu460	183	3	7	14	1	1	117	9	5	0	3	1	76	19	4	58	292	22	176
Zotu464	12	0	1	2	0	0	7	1	0	0	0	0	4	2	3	288	1897	166	298
Zotu466	80	0	1	26	0	0	1	1	0	0	0	0	393	0	1	1	0	0	1
Zotu469	0	0	5	3	4	0	0	27	0	11	0	0	2467	0	0	0	0	0	0
Zotu47	4720	324	1651	4265	162	216	6310	756	356	23	130	201	2461	1835	260	20831	67913	12071	15984
Zotu470	19	0	0	5	2	0	15	2	0	0	0	0	9	4	2	152	285	72	165
Zotu471	0	0	2	0	446	0	0	4	0	0	0	0	0	0	0	0	0	0	0
Zotu473	174	0	3	61	0	0	5	0	0	0	0	0	3	0	0	0	0	0	0
Zotu480	0	34	16	0	0	19	1	15	15	19	22	23	0	3	262	76	0	40	73
Zotu481	48	1	5	4	0	0	37	1	1	0	0	1	6	4	5	162	513	205	128
Zotu485	43	7	3	41	0	0	33	11	4	0	2	2	50	6	0	6	23	6	12
Zotu486	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Zotu488	0	0	0	0	0	0	0	147	0	0	0	0	0	8	175	2	1	16	0
Zotu490	270	3	11	36	5	4	208	13	6	0	1	4	68	37	16	388	2029	311	554
Zotu493	54	0	2	2	0	0	69	6	0	0	0	0	8	14	4	76	242	40	85
Zotu495	0	0	0	0	1	0	0	14	0	1	0	0	840	0	0	0	0	0	0
Zotu5	93	2333	931	0	32	4109	62	7749	3405	1414	3794	2969	25	672	43752	91174	3319	40114	9640
Zotu503	154	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Zotu505	292	0	0	3	0	0	5	0	0	0	0	0	18	0	0	0	0	0	0
Zotu506	0	0	1	0	0	0	0	1	0	1	0	0	735	0	0	0	0	0	0
Zotu507	15	34	135	2	4	372	0	50	7	50	26	57	13	18	1415	18	0	14	20
Zotu51	100	10451	89	4	0	6265	5	244	26	0	96	8497	68	36	2667	1179	14	8340	14341
Zotu511	2	21	53	0	1	22	1	53	38	10	53	47	0	7	1801	136	0	10	200
Zotu512	228	0	1	5	0	0	2	1	1	0	0	0	107	0	0	0	0	0	0
Zotu514	60	0	2	45	0	0	39	3	0	0	0	0	5	22	2	7	10	19	5
Zotu515	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu518	310	11	28	36	3	5	214	24	13	0	5	7	160	54	1	21	221	25	46
Zotu519	171	0	4	6	1	0	102	9	0	0	0	1	53	4	2	13	21	30	7
Zotu521	19	127	194	0	5	151	6	166	144	67	232	179	0	48	2305	141	9	13	246
Zotu524	74	1735	681	1	11	635	28	5810	671	742	2467	1668	2	172	9988	4622	13	6096	1407
Zotu525	0	0	1	0	0	1	1	0	2	1	1	1	0	1	120	11	6	0	80
Zotu527	0	0	0	0	0	1	0	0	3	1	0	1	0	0	10	6	0	0	6
Zotu529	224	0	0	29	0	0	8	0	0	0	0	0	1	0	3	0	0	0	0
Zotu53	3870	121	405	700	63	111	7118	287	144	4	48	119	1581	1015	273	6659	30968	6845	11027
Zotu530	448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Zotu533	0	0	1	11	0	0	0	3	0	0	0	0	383	0	0	0	0	0	0
Zotu535	0	0	0	0	1	0	0	2	0	0	0	0	205	0	0	0	0	0	0
Zotu536	43	0	1	42	0	0	0	2	0	0	0	0	196	0	0	0	0	0	0
Zotu539	550	5	26	32	6	2	343	23	13	0	1	3	106	50	8	220	1224	178	324
Zotu54	511	185	1056	2	78	162	4	8339	197	136	9158	186	1	1867	69662	1142	28	5231	176
Zotu541	0	55	22	1	0	18	1	30	31	23	30	37	0	5	371	184	8	183	135
Zotu542	16	217	42	0	2	225	3	173	323	192	310	495	4	63	4303	1259	23	431	1588
Zotu546	343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu547	210	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu55	133	1614	456	0	8	1335	16	5898	434	0	4362	2604	13	411	49799	1633	19	948	53
Zotu552	2	69	42	0	0	35	1	102	45	25	137	65	0	5	2264	768	3	783	487
Zotu554	12	1	28	0	0	0	0	264	0	28	130	301	0	11	127	0	0	12	507
Zotu556	276	0	0	2	0	0	6	0	0	0	0	0	3	0	0	0	0	0	0
Zotu559	201	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Zotu560	712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu561	118	7	6	40	3	3	411	44	10	0	1	4	66	32	0	18	100	8	21
Zotu563	41	3	7	7	1	1	64	2	2	0	1	0	19	12	0	2	8	0	2
Zotu564	35	1	5	38	1	5	86	5	5	0	0	1	30	38	0	0	2	0	0
Zotu565	6669	157	333	1003	96	61	6181	907	265	10	48	89	3340	750	78	9964	36612	11180	7671
Zotu567	1	9	2	0	2	4	0	45	9	7	33	9	0	0	1240	1617	4	2540	297
Zotu569	122	0	1	15	0	1	47	5	5	0	1	0	48	15	3	220	271	87	79
Zotu57	614	21998	10531	4	102	22962	271	38681	21590	5834	38029	28336	221	3286	280622	251591	1256	195102	133415
Zotu570	220	4	22	32	9	6	176	2	5	0	2	6	30	30	13	756	5356	569	1121
Zotu572	0	0	0	0	0	0	0	11	0	1	0	0	779	0	0	0	0	0	0
Zotu573	0	0	0	0	0	0	0	0	0	0	0	0	320	0	0	0	0	0	0
Zotu574	20	0	0	19	0	0	49	0	2	0	0	0	0	0	0	0	0	0	0
Zotu577	75	0	4	27	1	2	54	9	4	0	0	4	141	16	0	34	116	21	42
Zotu579	13	0	0	1	0	0	2	0	0	0	0	0	4	0	0	19	16	2	4
Zotu585	418	10233	7687	8	60	14432	230	24686	12486	10409	19295	13766	200	1667	145044	97701	704	102993	74784
Zotu588	21	0	1	7	0	0	19	1	0	0	0	0	4	1	1	112	705	203	110
Zotu589	396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu590	25	0	0	7	1	0	20	1	1	0	0	1	30	3	0	13	20	10	1
Zotu591	323	7	9	33	0	5	273	37	17	0	1	1	175	41	4	119	266	66	67
Zotu594	97	3	14	71	1	2	197	6	5	0	1	1	27	31	3	170	753	267	168
Zotu596	1	4	90	0	1	5	0	32	5	5	34	18	0	0	156	70	0	32	25
Zotu598	1	4	3	0	0	1	1	21	5	3	23	13	0	1	19	4	0	2	1
Zotu6	178	2865	1554	4	33	7002	75	9791	4148	2022	3755	4159	30	1134	33473	53137	2312	41519	7925
Zotu60	93	2136	777	3	24	5250	29	8113	1874	1193	1720	3773	16	477	24266	22972	336	5910	8646
Zotu601	2	13	8	0	0	5	0	42	14	13	56	25	0	0	132	27	0	5068	26
Zotu602	6	20	40	0	0	39	0	34	39	13	52	23	1	7	740	34	0	3	114
Zotu603	269	0	0	20	0	0	36	1	0	0	0	0	135	0	0	0	0	0	0
Zotu605	0	1	1	0	0	0	0	7	0	0	0	0	495	0	0	0	0	0	0
Zotu610	259	2	20	21	3	3	98	13	4	0	0	2	254	18	0	36	282	13	57
Zotu617	178	2	14	13	0	0	109	3	3	0	0	3	29	15	3	59	403	23	124
Zotu619	35	991	401	1	26	518	18	2710	687	572	1581	1279	10	150	16871	3491	17	2479	3216
Zotu62	22033	382	1480	2438	309	197	19664	2542	395	18	103	302	5937	2268	410	32196	150768	66733	23756
Zotu620	518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu621	177	9	7	68	1	12	390	34	14	0	3	5	93	100	2	61	317	138	72
Zotu622	6	221	307	0	4	287	8	362	264	109	569	381	2	76	5779	6012	27	2434	3042
Zotu625	1	89	54	0	2	126	1	181	83	28	308	180	2	14	1252	1580	5	939	814
Zotu627	2	31	21	0	0	41	0	54	56	19	66	47	0	13	2703	1563	23	2791	1827
Zotu629	0	1	0	0	0	2	0	0	0	1	0	1	0	0	5	813	21	569	3
Zotu630	316	0	0	1	0	0	5	0	1	0	0	0	1	0	0	0	0	0	0
Zotu631	0	0	0	0	0	6	219	0	1	0	0	0	0	0	1	0	0	0	0
Zotu632	0	1	1	0	1	0	0	15	0	1	0	0	990	0	0	0	0	0	0
Zotu634	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu637	20	0	0	2	0	0	0	2	0	0	0	0	319	0	0	0	0	0	0
Zotu639	0	0	1	2	0	0	0	0	0	1	0	0	121	0	0	0	0	0	0
Zotu64	3824	32	148	314	46	20	2711	115	73	1	12	20	944	322	163	6229	20834	18146	7462
Zotu643	51	0	1	18	0	1	78	0	0	0	0	1	12	24	0	18	70	14	15
