Reaction	A01	A02	B01	B02	C01	C02	D01	D02	E01	E02	F01	F02	G01	H01	H25361	H25362	H25363	H25364	H25365
3HAD13M14	0	0	0	0	0	0	0.000895367	0	0	0	0.001584667	0	0	0	0	0	0	0.066269435	0.081557759
3HAD14M16	0	0	0	0	0	0	0.000895367	0	0	0	0.001584667	0	0	0	0	0	0	0.066269435	0.081557759
3HAD15M16	0	0	0	0	0	0	0.000895367	0	0	0	0.001584667	0	0	0	0	0	0	0.066269435	0.081557759
3HAD4M6	0	0	0	0	0	0	0.000895367	0	0	0	0.001584667	0	0	0	0	0	0	0.066269435	0.081557759
3HAD5M6	0	0	0	0	0	0	0.000895367	0	0	0	0.001584667	0	0	0	0	0	0	0.066269435	0.081557759
3HAD6M8	0	0	0	0	0	0	0.000895367	0	0	0	0.001584667	0	0	0	0	0	0	0.066269435	0.081557759
3HAD7M8	0	0	0	0	0	0	0.000895367	0	0	0	0.001584667	0	0	0	0	0	0	0.066269435	0.081557759
3HAD8M10	0	0	0	0	0	0	0.000895367	0	0	0	0.001584667	0	0	0	0	0	0	0.066269435	0.081557759
3HAD9M10	0	0	0	0	0	0	0.000895367	0	0	0	0.001584667	0	0	0	0	0	0	0.066269435	0.081557759
3HBCOAE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3HBCOAHL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3HPCOAHL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3HPCOAHYD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3HPCOAS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3MOBS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAACPR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAACPR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR10M11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR10M12	0	0	0	0	0	0	0.000895367	0	0	0	0.001584667	0	0	0	0	0	0	0.066269435	0.081557759
3OAR11M12	0	0	0	0	0	0	0.000895367	0	0	0	0.001584667	0	0	0	0	0	0	0.066269435	0.081557759
3OAR120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR12M13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR12M14	0	0	0	0	0	0	0.000895367	0	0	0	0.001584667	0	0	0	0	0	0	0.066269435	0.081557759
3OAR13M14	0	0	0	0	0	0	0.000895367	0	0	0	0.001584667	0	0	0	0	0	0	0.066269435	0.081557759
3OAR140	0	0	0	0	0	0	0.002104339	0	0	0	0.003724369	0	0	0	0	0	0	0.155749975	0.191681413
3OAR14M15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR14M16	0	0	0	0	0	0	0.000895367	0	0	0	0.001584667	0	0	0	0	0	0	0.066269435	0.081557759
3OAR15M16	0	0	0	0	0	0	0.000895367	0	0	0	0.001584667	0	0	0	0	0	0	0.066269435	0.081557759
3OAR160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR4M5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR4M6	0	0	0	0	0	0	0.000895367	0	0	0	0.001584667	0	0	0	0	0	0	0.066269435	0.081557759
3OAR5M6	0	0	0	0	0	0	0.000895367	0	0	0	0.001584667	0	0	0	0	0	0	0.066269435	0.081557759
3OAR60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR6M7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR6M8	0	0	0	0	0	0	0.000895367	0	0	0	0.001584667	0	0	0	0	0	0	0.066269435	0.081557759
3OAR7M8	0	0	0	0	0	0	0.000895367	0	0	0	0.001584667	0	0	0	0	0	0	0.066269435	0.081557759
3OAR80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR8M10	0	0	0	0	0	0	0.000895367	0	0	0	0.001584667	0	0	0	0	0	0	0.066269435	0.081557759
3OAR8M9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR9M10	0	0	0	0	0	0	0.000895367	0	0	0	0.001584667	0	0	0	0	0	0	0.066269435	0.081557759
3OAS100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAS10M11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAS10M12	0	0	0	0	0	0	0.000895367	0	0	0	0.001584667	0	0	0	0	0	0	0.066269435	0.081557759
3OAS11M12	0	0	0	0	0	0	0.000895367	0	0	0	0.001584667	0	0	0	0	0	0	0.066269435	0.081557759
3OAS120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAS12M13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAS12M14	0	0	0	0	0	0	0.000895367	0	0	0	0.001584667	0	0	0	0	0	0	0.066269435	0.081557759
3OAS13M14	0	0	0	0	0	0	0.000895367	0	0	0	0.001584667	0	0	0	0	0	0	0.066269435	0.081557759
3OAS140	0	0	0	0	0	0	0.002104339	0	0	0	0.003724369	0	0	0	0	0	0	0.155749975	0.191681413
3OAS160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAS180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAS2M3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAS3M4	0	0	0	0	0	0	0.000895367	0	0	0	0.001584667	0	0	0	0	0	0	0.066269435	0.081557759
3OAS4M3O6	0	0	0	0	0	0	0.000895367	0	0	0	0.001584667	0	0	0	0	0	0	0.066269435	0.081557759
3OAS4M5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAS4M6	0	0	0	0	0	0	0.000895367	0	0	0	0.001584667	0	0	0	0	0	0	0.066269435	0.081557759
3OAS5M6	0	0	0	0	0	0	0.000895367	0	0	0	0.001584667	0	0	0	0	0	0	0.066269435	0.081557759
3OAS60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAS6M7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAS6M8	0	0	0	0	0	0	0.000895367	0	0	0	0.001584667	0	0	0	0	0	0	0.066269435	0.081557759
3OAS7M8	0	0	0	0	0	0	0.000895367	0	0	0	0.001584667	0	0	0	0	0	0	0.066269435	0.081557759
3OAS80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAS8M10	0	0	0	0	0	0	0.000895367	0	0	0	0.001584667	0	0	0	0	0	0	0.066269435	0.081557759
3OAS8M9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAS9M10	0	0	0	0	0	0	0.000895367	0	0	0	0.001584667	0	0	0	0	0	0	0.066269435	0.081557759
42A12BOOX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4ABUTtex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92.72092322	197.9075176
4FCHLOR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4HBZCL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4HOXPACDt2rpp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4HOXPACDtex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4HPHACtex	0	0	0	0	0	0	-0.028513269	0	0	0	-2.586905364	0	0	0	0	0	0	-2.120008879	-2.609093823
4HTHDR	0	0	0	0	0	0	0.003263143	0	0	0	0.00577528	0	0	0	0	0	0	0.24151733	0.297235252
4HTHDS	0	0	0	0	0	0	0.003263143	0	0	0	0.00577528	0	0	0	0	0	0	0.24151733	0.297235252
4HTHRS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4NTPPH2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5AIZCDC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5DOAN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5HISAH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5HLTDL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5HMDOCPT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5HXKYNDCL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5MTHCYST	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5MTHFGLUNFT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7A_CZPtex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A5PISO	0	0	0	0	0	0	0.00131506	0	0	0	0.002327461	0	0	0	0	0	0	0.097332454	0.119787001
AACGLYDH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AACOAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AACTOOR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAGCPT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAGPH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAGT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAPAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABGAFT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABNTHL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABTA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92.72092322	197.9075176
ABUTD	0	0	0	0	0	0	4.204390003	0	0	0	7.44114885	0	0	0	0	0	0	311.1825444	382.9721952
ABUTR	0	0	0	0	0	0	-4.204390003	0	0	0	-7.44114885	0	0	0	0	0	0	-311.1825444	-382.9721952
ABUTt2rpp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92.72092322	197.9075176
ACACT1r	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACACT2r	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACACT3r	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACACT4r	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACACT5r	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACACT6r	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACACT7r	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACACt2pp	0	0	0	0	0	0	-4.204390003	0	0	0	-7.44114885	0	0	0	0	0	0	153.7623374	-382.9721952
ACACtex	0	0	0	0	0	0	-4.204390003	0	0	0	-7.44114885	0	0	0	0	0	0	153.7623374	-382.9721952
ACALD	0	0	0	0	0	0	0.020085895	0	0	0	-2.719169933	0	0	0	0	0	0	0	382.9721952
ACALDtex	0	0	0	0	0	0	4.204390003	0	0	0	4.721978916	0	0	0	0	0	0	311.1825444	382.9721952
ACALDtpp	0	0	0	0	0	0	4.204390003	0	0	0	4.721978916	0	0	0	0	0	0	311.1825444	382.9721952
ACBIPGT	0	0	0	0	0	0	3.25E-05	0	0	0	5.76E-05	0	0	0	0	0	0	0.002408942	0.002964684
ACCOACL	0	0	0	0	0	0	0.071141562	0	0	0	0	0	0	0	0	0	0	0	0
ACCOAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACCOALYS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACDOR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACGK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACGS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACHBPL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACKr	0	0	0	0	0	0	-0.007489248	0	0	0	7.44114885	0	0	0	0	0	0	311.1825444	382.9721952
ACLS_a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACLS_b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACNAM9PL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACNAMS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOAAGPAT140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOAAGPAT160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOAAGPAT180	0	0	0	0	0	0	0.000447683	0	0	0	0.000792334	0	0	0	0	0	0	0.033134717	0.040778879
ACOAAGPATAI15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOAAGPATAI17	0	0	0	0	0	0	0.000447683	0	0	0	0.000792334	0	0	0	0	0	0	0.033134717	0.040778879
ACOAAGPATI14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOAAGPATI15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOAAGPATI16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOAAGPATI17	0	0	0	0	0	0	0.000447683	0	0	0	0.000792334	0	0	0	0	0	0	0.033134717	0.040778879
ACOAD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOAD1fi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOAD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOAD20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOAD3rev	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOAD4rev	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOAD5rev	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOAD6rev	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOAD7i	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOAD8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOADH2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191.4846153
ACOASL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOATA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOCT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACODAr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACONT	0	0	0	0	0	0	-4.204390003	0	0	0	-7.44114885	0	0	0	0	0	0	311.1825444	382.9721952
ACONTa	0	0	0	0	0	0	4.204390003	0	0	0	7.44114885	0	0	0	0	0	0	-0.436542821	-0.537253023
ACONTb	0	0	0	0	0	0	4.204390003	0	0	0	7.44114885	0	0	0	0	0	0	-0.436542821	-0.537253023
ACOTA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACPS1	0	0	0	0	0	0	3.25E-05	0	0	0	5.76E-05	0	0	0	0	0	0	0.002408942	0.002964684
ACS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTNDH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTNR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTNT	0	0	0	0	0	0	4.204390003	0	0	0	7.44114885	0	0	0	0	0	0	311.1825444	382.9721952
ACYP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACYP_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACtex	0	0	0	0	0	0	-0.009341797	0	0	0	7.437870112	0	0	0	0	0	0	311.1046694	382.8763545
ACtrpp	0	0	0	0	0	0	-0.009341797	0	0	0	7.437870112	0	0	0	0	0	0	311.1046694	382.8763545
ADA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADCL	0	0	0	0	0	0	9.76E-05	0	0	0	0.000172811	0	0	0	0	0	0	0.007226826	0.008894051
ADCS	0	0	0	0	0	0	9.76E-05	0	0	0	0.000172811	0	0	0	0	0	0	0.007226826	0.008894051
ADK1	0	0	0	0	0	0	-4.204390003	0	0	0	7.44114885	0	0	0	0	0	0	311.1825444	382.9721952
ADK10	0	0	0	0	0	0	4.203667215	0	0	0	-0.037638518	0	0	0	0	0	0	-311.1825444	-382.9721952
ADK11	0	0	0	0	0	0	-4.204390003	0	0	0	7.44114885	0	0	0	0	0	0	-311.1825444	382.9721952
ADK2	0	0	0	0	0	0	3.25E-05	0	0	0	5.76E-05	0	0	0	0	0	0	0.002408942	0.002964684
ADK3	0	0	0	0	0	0	-4.204390003	0	0	0	-7.44114885	0	0	0	0	0	0	310.9480045	382.6835472
ADK5	0	0	0	0	0	0	4.198719836	0	0	0	-7.44114885	0	0	0	0	0	0	-1.712251999	-382.9721952
ADK7	0	0	0	0	0	0	4.204390003	0	0	0	7.44114885	0	0	0	0	0	0	311.1825444	382.9721952
ADK8	0	0	0	0	0	0	-4.204390003	0	0	0	-7.44114885	0	0	0	0	0	0	-311.1825444	-2.114100824
ADK9	0	0	0	0	0	0	-0.015333419	0	0	0	-7.44114885	0	0	0	0	0	0	311.1721742	-382.9721952
ADNCYC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADNK1	0	0	0	0	0	0	0.000130189	0	0	0	0.000230415	0	0	0	0	0	0	0.009635767	0.011858734
ADNUC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADOCBIK	0	0	0	0	0	0	3.25E-05	0	0	0	5.76E-05	0	0	0	0	0	0	0.002408942	0.002964684
ADOCBIK2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADOCBLS	0	0	0	0	0	0	3.25E-05	0	0	0	5.76E-05	0	0	0	0	0	0	0.002408942	0.002964684
ADP1P	0	0	0	0	0	0	-0.009428942	0	0	0	-0.016687834	0	0	0	0	0	0	-0.701082992	-0.862822473
ADPRDP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADPT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADSK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADSL1r	0	0	0	0	0	0	0.001550295	0	0	0	0.002743793	0	0	0	0	0	0	0.114743118	0.141214295
ADSL2r	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADSS	0	0	0	0	0	0	0.001550295	0	0	0	0.002743793	0	0	0	0	0	0	0.114743118	0.141214295
AGLPET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGMHE	0	0	0	0	0	0	0.00105156	0	0	0	0.001861106	0	0	0	0	0	0	0.077829866	0.095785176
AGPAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGPAT120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGPAT140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGPAT141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGPAT160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGPAT161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGPAT180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGPAT181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGPE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGPGT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGPR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AHC	0	0	0	0	0	0	0.000130189	0	0	0	0.000230415	0	0	0	0	0	0	0.009635767	0.011858734
AHCVL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AHCYSNS_r	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AHEXASE3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AHMMPS	0	0	0	0	0	0	3.25E-05	0	0	0	5.76E-05	0	0	0	0	0	0	0.002408942	0.002964684
AHSERL2	0	0	0	0	0	0	0.000800379	0	0	0	0	0	0	0	0	0	0	0	0
AHSERL3	0	0	0	0	0	0	-0.000930568	0	0	0	-0.000230415	0	0	0	0	0	0	-0.009635767	-0.011858734
AICART	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AIHPDCOATA	0	0	0	0	0	0	0.000895367	0	0	0	0.001584667	0	0	0	0	0	0	0.066269435	0.081557759
AIPDCOATA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AIRC4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKGS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKGt2rpp	0	0	0	0	0	0	4.204390003	0	0	0	7.44114885	0	0	0	0	0	0	129.355552	382.9721952
AKGtex	0	0	0	0	0	0	4.204390003	0	0	0	7.44114885	0	0	0	0	0	0	129.355552	382.9721952
AKP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALAAH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALAALA	0	0	0	0	0	0	0.00026289	0	0	0	0.000465276	0	0	0	0	0	0	0.019457467	0.023946294
ALAASP1c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALAASPabcpp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALAASPtex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALACI	0	0	0	0	0	0	-4.204390003	0	0	0	-7.44114885	0	0	0	0	0	0	311.1825444	-382.9721952
ALAGLN1c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALAGLNabcpp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALAGLNtex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALAGLU1c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALAGLUabcpp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALAGLUtex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALAGLY1c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALAGLYabcpp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALAGLYtex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALAHIS1c	0	0	0	0	0	0	0.000833142	0	0	0	0.001474538	0	0	0	0	0	0	0	0.07588977
ALAHISabcpp	0	0	0	0	0	0	0.000833142	0	0	0	0.001474538	0	0	0	0	0	0	0	0.07588977
ALAHIStex	0	0	0	0	0	0	0.000833142	0	0	0	0.001474538	0	0	0	0	0	0	0	0.07588977
ALALEU1c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALALEUabcpp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALALEUtex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALAPAT4tepp	0	0	0	0	0	0	-4.204390003	0	0	0	4.800869738	0	0	0	0	0	0	0.185756141	-382.9721952
ALAR	0	0	0	0	0	0	-0.001676611	0	0	0	7.44114885	0	0	0	0	0	0	311.1825444	-66.20121416
